frame,time_s,X_m,Y_m,Z_m,distance_m,radius_px,cx_px,cy_px,source
68,2.2333,0.7146,-1.1084,7.0115,7.1345,14.6092,734.9039,212.7988,yolo
69,2.2667,0.7160,-1.1111,7.0292,7.1524,14.5725,734.8528,212.8007,yolo
70,2.3000,0.7177,-1.1128,7.0320,7.1556,14.5667,735.0376,212.6384,yolo
71,2.3333,0.7160,-1.1101,7.0154,7.1387,14.6011,735.0354,212.6430,yolo
72,2.3667,0.7153,-1.1071,7.0029,7.1258,14.6273,735.1152,212.7791,yolo
73,2.4000,0.7196,-1.1146,7.0501,7.1738,14.5293,735.0425,212.7725,yolo
74,2.4333,0.7218,-1.1183,7.0720,7.1962,14.4842,735.0391,212.7438,yolo
75,2.4667,0.7229,-1.1230,7.1017,7.2262,14.4238,734.7885,212.7499,yolo
76,2.5000,0.7206,-1.1229,7.0974,7.2217,14.4324,734.5469,212.6739,yolo
77,2.5333,0.7173,-1.1208,7.0827,7.2066,14.4623,734.3101,212.6469,yolo
78,2.5667,0.7145,-1.1170,7.0579,7.1814,14.5132,734.2722,212.6247,yolo
79,2.6000,0.7132,-1.1150,7.0478,7.1710,14.5339,734.2312,212.6849,yolo
80,2.6333,0.7117,-1.1128,7.0368,7.1597,14.5567,734.1802,212.7329,yolo
81,2.6667,0.7132,-1.1153,7.0531,7.1762,14.5231,734.1577,212.7542,yolo
82,2.7000,0.7131,-1.1154,7.0603,7.1833,14.5083,734.0467,212.8873,yolo
83,2.7333,0.7167,-1.1193,7.0867,7.2103,14.4542,734.1821,212.9176,yolo
84,2.7667,0.7126,-1.1121,7.0394,7.1623,14.5512,734.2637,212.8916,yolo
85,2.8000,0.7126,-1.1119,7.0345,7.1574,14.5616,734.3373,212.8087,yolo
86,2.8333,0.7102,-1.1109,7.0230,7.1457,14.5853,734.1630,212.7071,yolo
87,2.8667,0.7079,-1.1074,6.9908,7.1133,14.6526,734.2997,212.4838,yolo
88,2.9000,0.7068,-1.1055,6.9688,7.0912,14.6988,734.4484,212.2724,yolo
89,2.9333,0.7086,-1.1068,6.9698,7.0926,14.6966,734.6695,212.1310,yolo
90,2.9667,0.7114,-1.1120,6.9995,7.1229,14.6342,734.6370,212.0639,yolo
91,3.0000,0.7152,-1.1213,7.0501,7.1744,14.5293,734.4652,211.8931,yolo
92,3.0333,0.7155,-1.1247,7.0729,7.1975,14.4823,734.2023,211.9253,yolo
93,3.0667,0.7165,-1.1275,7.0966,7.2213,14.4339,734.0171,212.0522,yolo
94,3.1000,0.7173,-1.1303,7.1247,7.2494,14.3771,733.7550,212.2660,yolo
95,3.1333,0.7138,-1.1211,7.0891,7.2126,14.4493,733.7602,212.7403,yolo
96,3.1667,0.7106,-1.1057,7.0203,7.1423,14.5909,734.2509,213.3306,yolo
97,3.2000,0.7150,-1.0962,7.0095,7.1306,14.6135,734.9831,214.3707,yolo
98,3.2333,0.7279,-1.0952,7.0710,7.1923,14.4863,735.8542,215.7719,yolo
99,3.2667,0.7309,-1.0717,6.9990,7.1182,14.6352,737.2431,217.4073,yolo
100,3.3000,0.7528,-1.0836,7.1235,7.2446,14.3796,738.4049,218.3513,yolo
101,3.3333,0.7735,-1.0753,7.1061,7.2285,14.4147,741.3558,219.0923,yolo
102,3.3667,0.8029,-1.0770,7.1289,7.2543,14.3687,744.8793,219.3218,yolo
103,3.4000,0.8291,-1.0689,7.0757,7.2038,14.4767,749.1189,219.3278,yolo
104,3.4333,0.8576,-1.0651,7.0213,7.1532,14.5889,753.7455,218.7383,yolo
105,3.4667,0.8941,-1.0667,7.0026,7.1396,14.6278,758.8924,218.1560,yolo
106,3.5000,0.9289,-1.0670,6.9925,7.1341,14.6490,763.7038,217.8987,yolo
107,3.5333,0.9655,-1.0812,7.0524,7.1999,14.5244,767.4830,217.2447,yolo
108,3.5667,1.0094,-1.0829,7.0420,7.1959,14.5460,773.4811,216.8023,yolo
109,3.6000,1.0419,-1.0709,6.9651,7.1235,14.7066,779.2930,216.8280,yolo
110,3.6333,1.0860,-1.0756,6.9941,7.1592,14.6455,784.5894,216.7938,yolo
111,3.6667,1.1177,-1.0659,6.9419,7.1116,14.7557,789.9260,217.0133,yolo
112,3.7000,1.1523,-1.0628,6.9320,7.1071,14.7767,794.7942,217.2254,yolo
113,3.7333,1.1895,-1.0649,6.9708,7.1513,14.6945,798.9044,217.7431,yolo
114,3.7667,1.2067,-1.0560,6.9562,7.1386,14.7253,801.5326,218.6429,yolo
115,3.8000,1.2294,-1.0441,6.9492,7.1339,14.7402,804.7484,220.0921,yolo
116,3.8333,1.2407,-1.0293,6.9295,7.1146,14.7820,806.7323,221.6782,yolo
117,3.8667,1.2291,-1.0068,6.8339,7.0161,14.9889,807.4778,222.8091,yolo
118,3.9000,1.2087,-1.0103,6.8537,7.0324,14.9456,804.2283,222.7296,yolo
119,3.9333,1.1842,-1.0321,6.9476,7.1230,14.7435,798.7226,221.6708,yolo
120,3.9667,1.1293,-1.0371,6.9341,7.1016,14.7724,791.6628,220.7191,yolo
121,4.0000,1.0891,-1.0480,7.0056,7.1668,14.6215,784.7681,220.6972,yolo
122,4.0333,1.0421,-1.0527,7.0701,7.2236,14.4882,777.2510,221.3513,yolo
123,4.0667,0.9887,-1.0464,7.0599,7.2052,14.5090,770.4040,221.9773,yolo
124,4.1000,0.9349,-1.0465,7.0731,7.2110,14.4819,763.0806,222.2230,yolo
125,4.1333,0.8840,-1.0499,7.0935,7.2251,14.4404,756.0485,222.1717,yolo
126,4.1667,0.8410,-1.0718,7.2508,7.3777,14.1271,748.0028,222.3469,yolo
127,4.2000,0.8034,-1.0464,7.0595,7.1817,14.5099,745.9741,221.9684,yolo
128,4.2333,0.7518,-1.0295,6.9447,7.0607,14.7498,740.8077,221.9580,yolo
129,4.2667,0.7332,-1.0343,6.9512,7.0659,14.7360,738.2255,221.4468,yolo
130,4.3000,0.6866,-1.0238,6.8308,6.9411,14.9958,733.6058,220.4268,yolo
131,4.3333,0.6741,-1.0345,6.9036,7.0132,14.8375,730.9290,220.4550,yolo
