frame,time_s,X_m,Y_m,Z_m,distance_m,radius_px,cx_px,cy_px,source
396,13.1667,-0.2189,0.5403,3.0119,3.0678,34.0091,572.3321,527.0547,yolo
397,13.2000,-0.1893,0.5179,3.0796,3.1285,33.2620,582.7587,516.5929,yolo
398,13.2333,-0.1582,0.4941,3.1316,3.1743,32.7096,592.9706,506.9175,yolo
399,13.2667,-0.1280,0.4699,3.1808,3.2178,32.2037,602.5180,497.5672,yolo
400,13.3000,-0.0990,0.4470,3.2379,3.2701,31.6351,611.5373,488.5589,yolo
401,13.3333,-0.0706,0.4288,3.3269,3.3552,30.7888,620.2494,480.0163,yolo
402,13.3667,-0.0411,0.4051,3.3793,3.4038,30.3114,628.6642,471.6378,yolo
403,13.4000,-0.0137,0.3843,3.4471,3.4685,29.7158,636.3097,463.8060,yolo
404,13.4333,0.0141,0.3646,3.4965,3.5155,29.2959,643.7492,457.1104,yolo
405,13.4667,0.0447,0.3450,3.5581,3.5750,28.7889,651.7046,450.2834,yolo
406,13.5000,0.0732,0.3211,3.5793,3.5944,28.6179,659.0501,443.5287,yolo
407,13.5333,0.1021,0.3021,3.6593,3.6731,27.9927,665.9814,436.8661,yolo
408,13.5667,0.1296,0.2815,3.7037,3.7167,27.6567,672.5866,430.7739,yolo
409,13.6000,0.1617,0.2620,3.7734,3.7860,27.1458,679.8992,424.6643,yolo
410,13.6333,0.1890,0.2428,3.8221,3.8345,26.7999,686.0382,419.1522,yolo
411,13.6667,0.2175,0.2224,3.8762,3.8887,26.4261,692.2441,413.4356,yolo
412,13.7000,0.2420,0.1991,3.9094,3.9220,26.2015,697.6431,407.4236,yolo
413,13.7333,0.2699,0.1789,3.9407,3.9540,25.9935,703.7819,402.2780,yolo
414,13.7667,0.2978,0.1589,3.9896,4.0039,25.6748,709.5092,397.0917,yolo
415,13.8000,0.3242,0.1400,4.0186,4.0341,25.4895,715.1146,392.4480,yolo
416,13.8333,0.3548,0.1207,4.1089,4.1259,24.9296,720.4167,387.3453,yolo
417,13.8667,0.3823,0.1030,4.1501,4.1689,24.6820,725.7923,383.1181,yolo
418,13.9000,0.4100,0.0805,4.2054,4.2261,24.3575,730.7798,377.8220,yolo
419,13.9333,0.4342,0.0606,4.2323,4.2550,24.2024,735.5389,373.3428,yolo
420,13.9667,0.4669,0.0423,4.3275,4.3529,23.6699,740.4706,369.1050,yolo
421,14.0000,0.4895,0.0231,4.3625,4.3899,23.4803,744.4893,364.9332,yolo
422,14.0333,0.5123,0.0018,4.4218,4.4514,23.1653,747.8799,360.3803,yolo
423,14.0667,0.5323,-0.0166,4.4463,4.4780,23.0379,751.4799,356.5151,yolo
424,14.1000,0.5602,-0.0355,4.4738,4.5088,22.8963,756.6098,352.6106,yolo
425,14.1333,0.5844,-0.0539,4.4912,4.5294,22.8072,761.1674,348.8197,yolo
426,14.1667,0.6122,-0.0737,4.5358,4.5775,22.5830,765.6882,344.8729,yolo
427,14.2000,0.6391,-0.0924,4.5851,4.6303,22.3404,769.8017,341.2369,yolo
428,14.2333,0.6592,-0.1109,4.6053,4.6536,22.2424,773.2997,337.5795,yolo
429,14.2667,0.6880,-0.1292,4.6761,4.7282,21.9055,777.0149,334.2781,yolo
430,14.3000,0.7206,-0.1519,4.7669,4.8234,21.4884,780.7722,330.3222,yolo
431,14.3333,0.7453,-0.1704,4.8250,4.8852,21.2296,783.8306,327.1094,yolo
432,14.3667,0.7718,-0.1882,4.8503,4.9150,21.1187,788.1793,323.8630,yolo
433,14.4000,0.7943,-0.2051,4.8859,4.9543,20.9648,791.3870,320.9103,yolo
434,14.4333,0.8141,-0.2220,4.8791,4.9516,20.9940,795.3814,317.6287,yolo
435,14.4667,0.8432,-0.2419,4.9566,5.0336,20.6661,798.4067,314.5624,yolo
436,14.5000,0.8616,-0.2566,4.9613,5.0421,20.6462,801.7073,311.8319,yolo
437,14.5333,0.8807,-0.2751,4.9895,5.0741,20.5297,804.3655,308.6520,yolo
438,14.5667,0.8995,-0.2903,4.9914,5.0801,20.5217,807.8181,305.8471,yolo
439,14.6000,0.9337,-0.3134,5.0905,5.1849,20.1223,810.7971,302.6788,yolo
440,14.6333,0.9766,-0.3372,5.2251,5.3262,19.6041,814.0426,299.9056,yolo
441,14.6667,0.9844,-0.3488,5.1888,5.2928,19.7412,816.6720,297.4071,yolo
442,14.7000,1.0157,-0.3684,5.2617,5.3715,19.4675,819.7638,294.8018,yolo
443,14.7333,1.0525,-0.3896,5.3598,5.4760,19.1115,822.8617,292.3065,yolo
444,14.7667,1.0486,-0.3973,5.2628,5.3809,19.4635,825.5431,289.6994,yolo
445,14.8000,1.0837,-0.4178,5.3473,5.4720,19.1558,828.7112,287.2420,yolo
446,14.8333,1.1034,-0.4310,5.3590,5.4884,19.1140,831.7330,285.1127,yolo
447,14.8667,1.1155,-0.4424,5.3396,5.4728,19.1834,834.5329,282.8430,yolo
448,14.9000,1.1403,-0.4617,5.3925,5.5311,18.9952,836.9116,280.2760,yolo
449,14.9333,1.1623,-0.4789,5.4330,5.5766,18.8536,839.2170,277.9186,yolo
450,14.9667,1.1896,-0.4976,5.4923,5.6416,18.6502,841.6910,275.6417,yolo
451,15.0000,1.2202,-0.5181,5.5625,5.7183,18.4148,844.2665,273.2696,yolo
452,15.0333,1.2519,-0.5402,5.6461,5.8084,18.1422,846.4763,270.9010,yolo
453,15.0667,1.2619,-0.5511,5.6354,5.8011,18.1768,848.5134,268.9392,yolo
454,15.1000,1.2846,-0.5664,5.6669,5.8382,18.0755,851.0854,266.9279,yolo
455,15.1333,1.3156,-0.5840,5.7292,5.9072,17.8791,853.8389,265.0707,yolo
456,15.1667,1.3216,-0.5939,5.7044,5.8855,17.9569,855.7358,263.0422,yolo
457,15.2000,1.3275,-0.6036,5.6847,5.8688,18.0189,857.4588,261.1240,yolo
458,15.2333,1.3594,-0.6243,5.7650,5.9559,17.7681,859.5778,259.1575,yolo
459,15.2667,1.3730,-0.6344,5.7656,5.9606,17.7663,861.7497,257.5360,yolo
460,15.3000,1.4001,-0.6516,5.8294,6.0305,17.5716,863.6538,255.9165,yolo
461,15.3333,1.4114,-0.6618,5.8234,6.0284,17.5899,865.6917,254.1753,yolo
462,15.3667,1.4356,-0.6768,5.8697,6.0805,17.4511,867.7529,252.6223,yolo
