frame,time_s,det_cx,det_cy,det_radius_px,det_confidence,det_source,kf_cx,kf_cy,kf_vx,kf_vy,kf_uncertainty
318,10.5667,,,,,none,0.00,159.10,-1237.37,107.13,9.50
319,10.6000,,,,,none,0.00,162.67,-1237.37,107.13,10.02
320,10.6333,,,,,none,0.00,166.24,-1237.37,107.13,10.54
321,10.6667,,,,,none,0.00,169.81,0.00,0.00,11.07
322,10.7000,,,,,none,0.00,169.81,0.00,0.00,11.61
323,10.7333,,,,,none,0.00,169.81,0.00,0.00,12.16
324,10.7667,64.00,99.00,42.00,1.000,hough,62.08,101.12,76.20,-84.31,2.20
325,10.8000,135.00,95.00,74.00,1.000,hough,104.13,96.45,140.87,-87.35,1.68
326,10.8333,,,,,none,108.82,93.54,140.87,-87.35,2.06
327,10.8667,,,,,none,113.52,90.63,140.87,-87.35,2.46
328,10.9000,,,,,none,118.21,87.72,140.87,-87.35,2.85
329,10.9333,,,,,none,122.91,84.81,140.87,-87.35,3.26
330,10.9667,,,,,none,127.60,81.89,140.87,-87.35,3.67
331,11.0000,,,,,none,132.30,78.98,140.87,-87.35,4.09
332,11.0333,77.00,101.00,71.00,1.000,hough,88.83,96.09,38.40,-44.78,2.00
333,11.0667,,,,,none,90.11,94.59,38.40,-44.78,2.39
334,11.1000,149.00,101.00,79.00,1.000,hough,126.41,97.90,118.25,-33.83,1.74
335,11.1333,238.00,103.00,41.00,1.000,hough,182.18,99.77,243.05,-26.61,1.55
336,11.1667,89.00,113.00,53.00,1.000,hough,145.70,105.10,130.26,-10.89,1.48
337,11.2000,,,,,none,150.04,104.74,130.26,-10.89,1.93
338,11.2333,61.00,107.00,50.00,1.000,hough,105.45,105.75,4.62,-7.36,1.62
339,11.2667,63.00,123.00,53.00,1.000,hough,86.14,113.50,-45.71,13.31,1.51
340,11.3000,,,,,none,84.62,113.94,-45.71,13.31,1.95
341,11.3333,,,,,none,83.09,114.39,-45.71,13.31,2.37
342,11.3667,,,,,none,81.57,114.83,-45.71,13.31,2.78
343,11.4000,,,,,none,80.04,115.27,-45.71,13.31,3.19
344,11.4333,,,,,none,78.52,115.72,-45.71,13.31,3.60
345,11.4667,,,,,none,77.00,116.16,-45.71,13.31,4.02
346,11.5000,115.00,109.00,58.00,1.000,hough,106.99,110.54,20.42,0.59,2.00
347,11.5333,231.00,64.00,50.00,1.000,hough,173.26,85.80,164.18,-53.68,1.63
348,11.5667,,,,,none,178.74,84.01,164.18,-53.68,2.04
349,11.6000,,,,,none,184.21,82.22,164.18,-53.68,2.44
350,11.6333,,,,,none,189.68,80.43,164.18,-53.68,2.84
351,11.6667,,,,,none,195.15,78.64,164.18,-53.68,3.24
352,11.7000,,,,,none,200.63,76.85,164.18,-53.68,3.64
353,11.7333,128.00,116.00,48.00,1.000,hough,146.31,106.40,38.06,12.43,1.96
354,11.7667,130.00,113.00,57.00,1.000,hough,138.37,110.05,17.71,19.59,1.62
355,11.8000,,,,,none,138.96,110.71,17.71,19.59,2.03
356,11.8333,,,,,none,139.55,111.36,17.71,19.59,2.43
357,11.8667,,,,,none,140.14,112.01,17.71,19.59,2.83
358,11.9000,125.00,119.00,65.00,1.000,hough,130.10,116.95,-6.33,29.26,1.84
359,11.9333,127.00,71.00,27.00,1.000,hough,128.44,94.40,-9.71,-25.59,1.58
360,11.9667,119.00,93.00,40.00,1.000,hough,124.05,93.31,-19.61,-26.19,1.49
361,12.0000,,,,,none,123.40,92.43,-19.61,-26.19,1.93
362,12.0333,,,,,none,122.74,91.56,-19.61,-26.19,2.34
363,12.0667,,,,,none,122.09,90.69,-19.61,-26.19,2.75
364,12.1000,88.00,117.00,61.00,1.000,hough,99.20,107.90,-71.47,15.98,1.82
365,12.1333,,,,,none,96.81,108.43,-71.47,15.98,2.23
366,12.1667,,,,,none,94.43,108.96,-71.47,15.98,2.63
367,12.2000,,,,,none,92.05,109.49,-71.47,15.98,3.03
368,12.2333,,,,,none,89.67,110.03,-71.47,15.98,3.42
369,12.2667,159.00,83.00,28.00,1.000,hough,140.74,90.02,43.34,-28.14,1.93
370,12.3000,94.00,107.00,49.00,1.000,hough,117.17,98.38,-12.57,-7.34,1.61
371,12.3333,103.00,118.00,47.00,1.000,hough,110.55,107.10,-27.25,13.86,1.50
372,12.3667,,,,,none,109.64,107.56,-27.25,13.86,1.93
373,12.4000,181.00,95.00,38.00,1.000,hough,146.59,101.20,65.62,-2.88,1.62
374,12.4333,,,,,none,148.78,101.11,65.62,-2.88,2.04
375,12.4667,,,,,none,150.96,101.01,65.62,-2.88,2.45
376,12.5000,,,,,none,153.15,100.91,65.62,-2.88,2.86
377,12.5333,,,,,none,155.34,100.82,65.62,-2.88,3.26
378,12.5667,209.00,74.00,24.00,1.000,hough,195.03,81.25,148.76,-46.04,1.91
379,12.6000,187.00,97.00,79.00,1.000,hough,193.30,88.62,133.47,-25.70,1.61
380,12.6333,,,,,none,197.75,87.77,133.47,-25.70,2.02
381,12.6667,352.66,703.53,44.62,0.663,yolo,283.61,420.56,327.66,770.10,1.64
382,12.7000,367.43,694.46,51.11,0.472,yolo,328.10,560.55,409.74,1049.64,1.52
383,12.7333,388.94,686.12,46.39,0.696,yolo,362.16,634.70,460.92,1147.90,1.47
384,12.7667,407.72,677.43,44.70,0.734,yolo,390.27,674.85,493.50,1152.72,1.45
385,12.8000,424.40,664.54,44.47,0.839,yolo,414.12,692.87,512.63,1099.99,1.45
386,12.8333,441.89,649.77,42.91,0.868,yolo,435.67,696.23,524.22,1013.40,1.44
387,12.8667,456.49,635.42,42.35,0.866,yolo,454.54,690.54,527.86,910.51,1.44
388,12.9000,472.37,619.30,40.47,0.927,yolo,472.23,678.51,528.11,799.92,1.44
389,12.9333,486.15,606.68,40.63,0.887,yolo,488.30,664.09,524.10,692.72,1.44
390,12.9667,500.68,593.18,38.63,0.867,yolo,503.65,647.97,518.57,590.47,1.44
391,13.0000,512.46,580.88,37.31,0.814,yolo,517.40,631.46,509.36,496.16,1.44
392,13.0333,525.78,568.01,36.36,0.854,yolo,530.79,614.64,500.02,409.31,1.44
393,13.0667,536.45,559.02,36.63,0.876,yolo,542.87,599.40,488.08,334.16,1.44
394,13.1000,548.42,546.82,35.09,0.858,yolo,554.67,583.97,476.46,265.08,1.44
395,13.1333,559.08,537.52,34.92,0.891,yolo,565.77,569.76,464.03,205.18,1.44
396,13.1667,570.19,527.86,33.95,0.858,yolo,576.63,556.28,452.07,152.41,1.44
397,13.2000,579.83,516.95,33.25,0.877,yolo,586.75,542.85,439.23,104.35,1.44
398,13.2333,589.90,508.52,32.95,0.878,yolo,596.60,530.57,426.79,63.44,1.44
399,13.2667,598.42,499.50,32.49,0.906,yolo,605.66,518.85,413.37,27.55,1.44
400,13.3000,607.56,491.14,31.82,0.835,yolo,614.48,507.84,400.52,-3.40,1.44
401,13.3333,615.78,482.72,30.60,0.864,yolo,622.81,497.30,387.49,-30.43,1.44
402,13.3667,624.79,474.26,30.62,0.806,yolo,631.17,487.11,375.67,-54.24,1.44
403,13.4000,631.12,467.10,29.85,0.893,yolo,638.45,477.71,362.08,-73.91,1.44
404,13.4333,639.55,461.55,29.65,0.869,yolo,645.95,469.54,350.23,-88.72,1.44
405,13.4667,647.11,454.34,29.01,0.891,yolo,653.24,461.48,338.87,-101.95,1.44
406,13.5000,655.54,447.24,29.27,0.830,yolo,660.79,453.56,329.15,-113.66,1.44
407,13.5333,661.29,440.31,28.00,0.800,yolo,667.40,445.83,317.84,-123.89,1.44
408,13.5667,668.44,434.68,28.05,0.843,yolo,674.01,438.77,307.52,-131.47,1.44
409,13.6000,675.04,428.47,27.28,0.831,yolo,680.42,431.92,297.56,-137.87,1.44
410,13.6333,681.67,423.17,27.15,0.843,yolo,686.73,425.59,288.20,-142.36,1.44
411,13.6667,688.13,416.98,26.72,0.797,yolo,692.91,419.24,279.33,-146.54,1.44
412,13.7000,693.57,410.46,26.67,0.798,yolo,698.62,412.73,269.99,-150.75,1.44
413,13.7333,700.21,406.00,26.46,0.837,yolo,704.53,406.99,261.99,-152.59,1.44
414,13.7667,705.83,400.60,25.96,0.898,yolo,710.17,401.36,253.96,-154.01,1.44
415,13.8000,711.04,396.08,25.94,0.911,yolo,715.47,396.17,245.76,-154.17,1.44
416,13.8333,716.66,390.31,24.85,0.886,yolo,720.74,390.73,238.20,-154.94,1.44
417,13.8667,722.45,386.74,25.03,0.851,yolo,726.09,386.05,231.47,-153.67,1.44
418,13.9000,727.38,380.06,24.58,0.825,yolo,731.13,380.57,224.53,-154.62,1.44
419,13.9333,732.28,376.22,24.64,0.805,yolo,735.97,375.75,217.69,-153.74,1.44
420,13.9667,736.24,372.20,23.57,0.812,yolo,740.32,371.28,210.14,-152.04,1.44
421,14.0000,741.80,367.72,23.85,0.868,yolo,745.02,366.84,204.17,-150.41,1.44
422,14.0333,746.04,363.72,23.34,0.845,yolo,749.41,362.62,197.93,-148.36,1.44
423,14.0667,751.36,360.10,23.46,0.890,yolo,754.07,358.69,192.91,-145.74,1.44
424,14.1000,755.01,355.25,23.27,0.821,yolo,758.22,354.42,186.98,-144.20,1.44
425,14.1333,759.65,351.43,23.23,0.847,yolo,762.45,350.37,181.79,-142.24,1.44
426,14.1667,763.67,347.02,22.80,0.862,yolo,766.49,346.21,176.56,-140.74,1.44
427,14.2000,768.08,343.74,22.52,0.854,yolo,770.59,342.44,171.93,-138.34,1.44
428,14.2333,770.54,339.69,22.61,0.882,yolo,773.91,338.60,165.68,-136.34,1.44
429,14.2667,775.58,336.76,21.93,0.911,yolo,777.83,335.19,161.53,-133.42,1.44
430,14.3000,779.08,332.57,21.40,0.860,yolo,781.49,331.50,157.06,-131.45,1.44
431,14.3333,783.98,329.55,21.36,0.855,yolo,785.58,328.13,154.10,-128.82,1.44
432,14.3667,785.76,325.78,21.44,0.830,yolo,788.65,324.65,148.74,-126.72,1.44
433,14.4000,790.60,323.25,21.21,0.823,yolo,792.36,321.60,145.50,-123.66,1.44
434,14.4333,793.30,318.99,21.47,0.770,yolo,795.58,318.11,141.28,-122.04,1.44
435,14.4667,797.32,316.54,20.63,0.860,yolo,799.05,315.08,138.08,-119.34,1.44
436,14.5000,799.53,313.81,21.03,0.889,yolo,801.94,312.23,133.62,-116.41,1.44
437,14.5333,803.12,310.31,20.76,0.847,yolo,805.03,309.17,130.09,-114.30,1.44
438,14.5667,806.70,307.69,20.88,0.867,yolo,808.26,306.33,127.21,-111.78,1.44
439,14.6000,809.40,304.29,19.94,0.842,yolo,811.20,303.31,123.87,-109.96,1.44
440,14.6333,812.76,301.43,19.27,0.876,yolo,814.26,300.39,121.09,-108.03,1.44
441,14.6667,815.52,299.57,20.31,0.880,yolo,817.14,297.95,118.09,-105.01,1.44
442,14.7000,818.96,296.31,19.45,0.803,yolo,820.19,295.23,115.80,-103.00,1.44
443,14.7333,821.49,293.85,18.98,0.786,yolo,822.98,292.65,113.03,-100.78,1.44
444,14.7667,824.82,291.24,20.29,0.759,yolo,825.95,290.10,110.94,-98.67,1.44
445,14.8000,828.66,288.90,19.05,0.794,yolo,829.23,287.68,109.88,-96.42,1.44
446,14.8333,831.03,286.79,19.37,0.882,yolo,832.12,285.43,107.87,-93.92,1.44
447,14.8667,832.05,284.28,19.58,0.845,yolo,834.19,283.13,103.91,-91.78,1.44
448,14.9000,835.98,281.17,19.02,0.786,yolo,836.96,280.53,102.10,-90.60,1.44
449,14.9333,837.87,278.94,18.94,0.815,yolo,839.32,278.10,99.41,-89.05,1.44
450,14.9667,840.95,276.71,18.65,0.837,yolo,841.93,275.79,97.59,-87.34,1.44
451,15.0000,842.66,274.18,18.37,0.820,yolo,844.13,273.42,94.86,-85.94,1.44
452,15.0333,845.76,271.66,18.05,0.849,yolo,846.66,271.02,93.21,-84.75,1.44
453,15.0667,847.45,270.43,18.50,0.881,yolo,848.80,269.13,90.71,-82.33,1.44
454,15.1000,851.20,268.04,18.20,0.897,yolo,851.56,267.07,90.04,-80.53,1.44
455,15.1333,852.99,266.19,17.87,0.853,yolo,853.91,265.14,88.33,-78.59,1.44
456,15.1667,853.73,263.83,18.31,0.836,yolo,855.55,263.07,84.96,-77.17,1.44
457,15.2000,856.50,262.11,18.33,0.862,yolo,857.60,261.17,82.93,-75.43,1.44
458,15.2333,859.46,260.00,17.64,0.834,yolo,859.99,259.21,81.95,-73.98,1.44
459,15.2667,861.23,258.78,17.98,0.803,yolo,862.10,257.59,80.34,-71.78,1.44
460,15.3000,862.86,257.05,17.52,0.848,yolo,863.98,255.97,78.27,-69.79,1.44
461,15.3333,864.80,254.91,17.82,0.888,yolo,865.84,254.17,76.34,-68.42,1.44
462,15.3667,867.31,253.55,17.46,0.918,yolo,867.94,252.58,75.18,-66.63,1.44
