frame,time_s,det_cx,det_cy,det_radius_px,det_confidence,det_source,kf_cx,kf_cy,kf_vx,kf_vy,kf_uncertainty
66,2.1667,734.56,212.74,14.71,0.706,yolo,734.67,212.75,2.39,0.44,1.44
67,2.2000,734.47,212.74,14.65,0.709,yolo,734.63,212.75,2.10,0.42,1.44
68,2.2333,734.63,212.72,14.54,0.710,yolo,734.67,212.75,2.02,0.37,1.44
69,2.2667,734.60,212.88,14.51,0.710,yolo,734.68,212.81,1.86,0.49,1.44
70,2.3000,734.61,212.83,14.55,0.711,yolo,734.69,212.83,1.72,0.50,1.44
71,2.3333,735.16,212.73,14.63,0.718,yolo,734.92,212.80,2.17,0.37,1.44
72,2.3667,734.66,212.97,14.65,0.723,yolo,734.85,212.88,1.81,0.54,1.44
73,2.4000,734.99,212.79,14.38,0.737,yolo,734.94,212.85,1.89,0.43,1.44
74,2.4333,734.35,212.75,14.42,0.711,yolo,734.73,212.81,1.18,0.30,1.44
75,2.4667,734.05,212.77,14.34,0.706,yolo,734.47,212.80,0.41,0.24,1.44
76,2.5000,733.98,212.60,14.45,0.731,yolo,734.27,212.72,-0.14,0.02,1.44
77,2.5333,734.31,212.61,14.50,0.737,yolo,734.28,212.67,-0.10,-0.11,1.44
78,2.5667,734.41,212.62,14.58,0.751,yolo,734.34,212.65,0.04,-0.17,1.44
79,2.6000,734.35,212.65,14.56,0.764,yolo,734.34,212.65,0.06,-0.16,1.44
80,2.6333,734.33,212.80,14.58,0.767,yolo,734.34,212.71,0.04,0.01,1.44
81,2.6667,734.45,212.75,14.47,0.768,yolo,734.38,212.73,0.15,0.06,1.44
82,2.7000,734.73,212.76,14.48,0.785,yolo,734.53,212.74,0.52,0.10,1.44
83,2.7333,734.65,212.53,14.38,0.761,yolo,734.59,212.65,0.63,-0.14,1.44
84,2.7667,734.89,212.42,14.68,0.771,yolo,734.73,212.55,0.94,-0.39,1.44
85,2.8000,734.16,212.38,14.57,0.755,yolo,734.51,212.48,0.29,-0.55,1.44
86,2.8333,734.30,212.35,14.61,0.770,yolo,734.43,212.41,0.05,-0.67,1.44
87,2.8667,734.90,212.03,14.73,0.782,yolo,734.62,212.24,0.55,-1.06,1.44
88,2.9000,734.94,211.93,14.75,0.777,yolo,734.76,212.09,0.87,-1.36,1.44
89,2.9333,734.89,211.99,14.68,0.790,yolo,734.83,212.02,0.97,-1.42,1.44
90,2.9667,734.40,212.14,14.54,0.772,yolo,734.67,212.04,0.46,-1.23,1.44
91,3.0000,733.97,211.93,14.38,0.752,yolo,734.39,211.97,-0.30,-1.31,1.44
92,3.0333,734.25,212.30,14.42,0.755,yolo,734.32,212.09,-0.44,-0.91,1.44
93,3.0667,733.35,212.51,14.37,0.749,yolo,733.91,212.24,-1.48,-0.42,1.44
94,3.1000,733.91,213.10,14.31,0.740,yolo,733.88,212.59,-1.43,0.52,1.44
95,3.1333,734.89,214.34,14.56,0.785,yolo,734.28,213.33,-0.28,2.39,1.44
96,3.1667,736.74,215.51,14.79,0.795,yolo,735.30,214.29,2.39,4.66,1.44
97,3.2000,737.16,217.09,14.64,0.832,yolo,736.12,215.55,4.32,7.52,1.44
98,3.2333,738.80,218.65,14.31,0.844,yolo,737.32,216.99,7.06,10.61,1.44
99,3.2667,741.48,219.85,14.84,0.869,yolo,739.19,218.39,11.30,13.32,1.44
100,3.3000,745.14,219.09,14.03,0.859,yolo,741.89,218.94,17.31,13.59,1.44
101,3.3333,749.36,219.20,14.47,0.798,yolo,745.34,219.31,24.75,13.39,1.44
102,3.3667,753.82,218.62,14.31,0.831,yolo,749.36,219.28,33.03,12.16,1.44
103,3.4000,759.31,218.11,14.63,0.860,yolo,754.14,219.03,42.59,10.45,1.44
104,3.4333,764.13,217.02,14.74,0.720,yolo,759.13,218.39,51.83,7.90,1.44
105,3.4667,768.83,216.50,14.67,0.753,yolo,764.18,217.76,60.44,5.57,1.44
106,3.5000,774.99,216.81,14.67,0.862,yolo,769.86,217.47,69.94,4.35,1.44
107,3.5333,778.40,216.38,14.35,0.801,yolo,774.78,217.10,76.64,3.01,1.44
108,3.5667,784.83,216.13,14.57,0.783,yolo,780.46,216.76,84.74,1.85,1.44
109,3.6000,788.86,216.86,14.92,0.860,yolo,785.61,216.83,90.76,1.90,1.44
110,3.6333,793.86,216.96,14.55,0.882,yolo,790.81,216.92,96.41,1.96,1.44
111,3.6667,797.53,217.25,14.89,0.840,yolo,795.49,217.10,100.20,2.25,1.44
112,3.7000,800.85,218.06,14.79,0.814,yolo,799.67,217.54,102.39,3.21,1.44
113,3.7333,803.05,219.77,14.57,0.849,yolo,803.07,218.53,102.35,5.49,1.44
114,3.7667,805.44,222.28,14.76,0.912,yolo,806.05,220.20,101.23,9.34,1.44
115,3.8000,805.58,223.83,14.75,0.931,yolo,807.82,221.89,97.08,12.92,1.44
116,3.8333,804.25,223.99,14.83,0.931,yolo,808.22,223.02,89.73,14.72,1.44
117,3.8667,795.14,221.17,15.25,0.891,yolo,804.51,222.54,72.37,12.20,1.44
118,3.9000,787.62,219.73,14.86,0.899,yolo,798.88,221.61,51.52,8.74,1.44
119,3.9333,778.00,218.82,14.45,0.856,yolo,791.18,220.62,27.11,5.42,1.44
120,3.9667,773.86,220.82,14.80,0.848,yolo,784.49,220.81,7.42,5.44,1.44
121,4.0000,766.54,221.82,14.41,0.807,yolo,777.15,221.34,-12.23,6.34,1.44
122,4.0333,760.48,222.30,14.31,0.837,yolo,769.97,221.86,-29.80,7.16,1.44
123,4.0667,753.14,221.86,14.55,0.838,yolo,762.38,222.00,-46.90,6.89,1.44
124,4.1000,748.44,221.35,14.46,0.810,yolo,755.66,221.86,-60.26,5.95,1.44
125,4.1333,742.10,222.13,14.40,0.851,yolo,748.84,222.09,-72.73,6.02,1.44
126,4.1667,746.16,222.57,13.72,0.604,yolo,746.31,222.41,-73.01,6.33,1.44
127,4.2000,737.03,221.73,15.06,0.785,yolo,741.02,222.25,-80.39,5.37,1.44
128,4.2333,738.20,220.66,15.08,0.817,yolo,738.28,221.69,-80.55,3.46,1.44
129,4.2667,729.53,219.10,14.70,0.825,yolo,733.07,220.68,-87.11,0.54,1.44
130,4.3000,732.17,219.94,15.33,0.836,yolo,731.00,220.38,-84.94,-0.29,1.44
